crime_type,severity,latitude,longitude
High Severity Area,2,28.498201,77.164966
High Severity Area,10,28.511947,77.129216
High Severity Area,10,28.451204,77.120755
High Severity Area,10,28.492478,77.117327
High Severity Area,10,28.524278,77.161531
High Severity Area,10,28.467958,77.133779
High Severity Area,8,28.454743,77.168256
High Severity Area,8,28.490142,77.112937
High Severity Area,8,28.50233,77.120628
High Severity Area,8,28.487911,77.128881
High Severity Area,8,28.531036,77.174892
High Severity Area,6,28.517641,77.169678
High Severity Area,6,28.522372,77.142174
High Severity Area,6,28.479464,77.150194
High Severity Area,6,28.518206,77.154667
High Severity Area,6,28.496276,77.170125
High Severity Area,4,28.506996,77.16871
High Severity Area,4,28.503099,77.130614
High Severity Area,4,28.512365,77.158507
High Severity Area,4,28.502304,77.13074
High Severity Area,4,28.498781,77.130644
High Severity Area,2,28.492256,77.14351
High Severity Area,2,28.500281,77.157512
High Severity Area,2,28.486057,77.147336
High Severity Area,2,28.499579,77.149483
High Severity Area,2,28.48704,77.154636
High Severity Area,10,28.492086,77.303699
High Severity Area,10,28.568317,77.306122
High Severity Area,10,28.573889,77.244109
High Severity Area,10,28.555208,77.278683
High Severity Area,10,28.532285,77.2485
High Severity Area,8,28.503574,77.255465
High Severity Area,8,28.519704,77.298473
High Severity Area,8,28.542136,77.257845
High Severity Area,8,28.540613,77.320969
High Severity Area,8,28.55484,77.294957
High Severity Area,6,28.52645,77.304665
High Severity Area,6,28.517468,77.302669
High Severity Area,6,28.536762,77.318312
High Severity Area,6,28.526462,77.320262
High Severity Area,6,28.514295,77.270215
High Severity Area,4,28.55327,77.307921
High Severity Area,4,28.540055,77.273835
High Severity Area,4,28.543677,77.277857
High Severity Area,4,28.532531,77.303981
High Severity Area,4,28.532588,77.3127
High Severity Area,2,28.530187,77.300562
High Severity Area,2,28.536884,77.298492
High Severity Area,2,28.526018,77.293356
High Severity Area,2,28.533022,77.288357
High Severity Area,2,28.54048,77.287319
High Severity Area,10,28.662778,77.204229
High Severity Area,10,28.639802,77.166268
High Severity Area,10,28.653573,77.198772
High Severity Area,10,28.678881,77.19158
High Severity Area,10,28.640531,77.198637
High Severity Area,8,28.675961,77.163123
High Severity Area,8,28.629934,77.192115
High Severity Area,8,28.631027,77.217828
High Severity Area,8,28.629292,77.150464
High Severity Area,8,28.687026,77.18595
High Severity Area,6,28.63344,77.212261
High Severity Area,6,28.6294,77.180284
High Severity Area,6,28.660251,77.185146
High Severity Area,6,28.653336,77.172303
High Severity Area,6,28.659363,77.217079
High Severity Area,4,28.655637,77.196276
High Severity Area,4,28.641839,77.195891
High Severity Area,4,28.64568,77.208985
High Severity Area,4,28.633695,77.19573
High Severity Area,4,28.667099,77.195382
High Severity Area,2,28.658953,77.185126
High Severity Area,2,28.649099,77.183161
High Severity Area,2,28.646543,77.187055
High Severity Area,2,28.654919,77.186133
High Severity Area,2,28.649161,77.188316
High Severity Area,10,28.477272,77.164042
High Severity Area,10,28.565456,77.19652
High Severity Area,10,28.492996,77.237219
High Severity Area,10,28.47906,77.155807
High Severity Area,10,28.481707,77.181624
High Severity Area,8,28.490389,77.228412
High Severity Area,8,28.544644,77.17302
High Severity Area,8,28.509478,77.231142
High Severity Area,8,28.508023,77.230785
High Severity Area,8,28.562136,77.173731
High Severity Area,6,28.515766,77.180709
High Severity Area,6,28.496758,77.202487
High Severity Area,6,28.553736,77.207934
High Severity Area,6,28.51856,77.203886
High Severity Area,6,28.536362,77.216127
High Severity Area,4,28.532443,77.204563
High Severity Area,4,28.522014,77.174621
High Severity Area,4,28.515303,77.174281
High Severity Area,4,28.526772,77.207328
High Severity Area,4,28.535092,77.187517
High Severity Area,2,28.518121,77.187257
High Severity Area,2,28.521188,77.196642
High Severity Area,2,28.516971,77.185748
High Severity Area,2,28.515783,77.191734
High Severity Area,2,28.520305,77.193039
High Severity Area,10,28.529682,77.128203
High Severity Area,10,28.560263,77.165253
High Severity Area,10,28.528191,77.132695
High Severity Area,10,28.525274,77.174235
High Severity Area,10,28.525463,77.167486
High Severity Area,8,28.590426,77.158274
High Severity Area,8,28.59096,77.13009
High Severity Area,8,28.523929,77.171855
High Severity Area,8,28.548572,77.155753
High Severity Area,8,28.544255,77.15748
High Severity Area,6,28.585751,77.165844
High Severity Area,6,28.531687,77.156599
High Severity Area,6,28.547229,77.145136
High Severity Area,6,28.575375,77.137462
High Severity Area,6,28.558451,77.14986
High Severity Area,4,28.550561,77.144258
High Severity Area,4,28.566827,77.168159
High Severity Area,4,28.558757,77.147875
High Severity Area,4,28.537672,77.167583
High Severity Area,4,28.572085,77.161786
High Severity Area,2,28.561,77.157796
High Severity Area,2,28.560496,77.158586
High Severity Area,2,28.559961,77.16814
High Severity Area,2,28.562572,77.173034
High Severity Area,2,28.566177,77.159224
High Severity Area,10,28.545548,77.286947
High Severity Area,10,28.506599,77.258818
High Severity Area,10,28.578569,77.241417
High Severity Area,10,28.506425,77.253047
High Severity Area,10,28.550051,77.267234
High Severity Area,8,28.575797,77.269012
High Severity Area,8,28.526679,77.256188
High Severity Area,8,28.520855,77.283099
High Severity Area,8,28.510663,77.255208
High Severity Area,8,28.53627,77.289001
High Severity Area,6,28.521134,77.278978
High Severity Area,6,28.55935,77.276428
High Severity Area,6,28.529469,77.308051
High Severity Area,6,28.572172,77.275706
High Severity Area,6,28.526478,77.268822
High Severity Area,4,28.561037,77.271881
High Severity Area,4,28.5291,77.295005
High Severity Area,4,28.52665,77.282154
High Severity Area,4,28.547911,77.279672
High Severity Area,4,28.527256,77.276004
High Severity Area,2,28.543592,77.287391
High Severity Area,2,28.545779,77.294132
High Severity Area,2,28.533303,77.296984
High Severity Area,2,28.537488,77.295096
High Severity Area,2,28.533558,77.296736
High Severity Area,10,28.57735,77.326183
High Severity Area,10,28.65021,77.331784
High Severity Area,10,28.665231,77.314778
High Severity Area,10,28.596419,77.272344
High Severity Area,10,28.626997,77.323195
High Severity Area,8,28.581638,77.329801
High Severity Area,8,28.635125,77.280521
High Severity Area,8,28.65372,77.34302
High Severity Area,8,28.586293,77.357728
High Severity Area,8,28.592906,77.337752
High Severity Area,6,28.618137,77.29066
High Severity Area,6,28.610844,77.333716
High Severity Area,6,28.614012,77.338669
High Severity Area,6,28.61642,77.305196
High Severity Area,6,28.635342,77.330943
High Severity Area,4,28.628135,77.314021
High Severity Area,4,28.630657,77.318269
High Severity Area,4,28.608814,77.298467
High Severity Area,4,28.620418,77.307069
High Severity Area,4,28.599995,77.307644
High Severity Area,2,28.614397,77.314241
High Severity Area,2,28.618781,77.317437
High Severity Area,2,28.617983,77.317478
High Severity Area,2,28.617809,77.322815
High Severity Area,2,28.627951,77.316937
High Severity Area,10,28.542827,77.228272
High Severity Area,10,28.563449,77.242765
High Severity Area,10,28.546164,77.231185
High Severity Area,10,28.535937,77.234742
High Severity Area,10,28.570349,77.262582
High Severity Area,8,28.61371,77.236496
High Severity Area,8,28.596659,77.278331
High Severity Area,8,28.54757,77.239475
High Severity Area,8,28.608491,77.253206
High Severity Area,8,28.606025,77.266474
High Severity Area,6,28.594084,77.235804
High Severity Area,6,28.604396,77.24387
High Severity Area,6,28.557489,77.255309
High Severity Area,6,28.57053,77.255818
High Severity Area,6,28.583026,77.270099
High Severity Area,4,28.581262,77.267394
High Severity Area,4,28.601789,77.264276
High Severity Area,4,28.571004,77.264523
High Severity Area,4,28.596152,77.235737
High Severity Area,4,28.5632,77.248558
High Severity Area,2,28.583459,77.250608
High Severity Area,2,28.575331,77.255703
High Severity Area,2,28.577212,77.258417
High Severity Area,2,28.573466,77.248522
High Severity Area,2,28.591731,77.250184
High Severity Area,10,28.54058,77.248787
High Severity Area,10,28.472826,77.230046
High Severity Area,10,28.564961,77.192368
High Severity Area,10,28.523048,77.189701
High Severity Area,10,28.516338,77.208806
High Severity Area,8,28.486842,77.22871
High Severity Area,8,28.514339,77.199373
High Severity Area,8,28.48391,77.245906
High Severity Area,8,28.512871,77.194026
High Severity Area,8,28.507157,77.227683
High Severity Area,6,28.521409,77.18609
High Severity Area,6,28.535339,77.203187
High Severity Area,6,28.508353,77.205303
High Severity Area,6,28.521172,77.195904
High Severity Area,6,28.527772,77.187562
High Severity Area,4,28.533535,77.211526
High Severity Area,4,28.500262,77.197452
High Severity Area,4,28.522947,77.190301
High Severity Area,4,28.535338,77.192733
High Severity Area,4,28.523267,77.2229
High Severity Area,2,28.518017,77.199564
High Severity Area,2,28.51544,77.199697
High Severity Area,2,28.525048,77.215143
High Severity Area,2,28.51302,77.206277
High Severity Area,2,28.518532,77.202175
High Severity Area,10,28.576839,77.339453
High Severity Area,10,28.637758,77.330806
High Severity Area,10,28.639817,77.357164
High Severity Area,10,28.630726,77.420361
High Severity Area,10,28.591695,77.348838
High Severity Area,8,28.589874,77.397956
High Severity Area,8,28.601177,77.411633
High Severity Area,8,28.639052,77.351863
High Severity Area,8,28.612731,77.350196
High Severity Area,8,28.641191,77.384278
High Severity Area,6,28.622154,77.359656
High Severity Area,6,28.62752,77.355407
High Severity Area,6,28.588059,77.361064
High Severity Area,6,28.587735,77.394273
High Severity Area,6,28.626957,77.362488
High Severity Area,4,28.622319,77.397357
High Severity Area,4,28.631325,77.383705
High Severity Area,4,28.622846,77.3663
High Severity Area,4,28.631601,77.385646
High Severity Area,4,28.626411,77.381739
High Severity Area,2,28.61841,77.369621
High Severity Area,2,28.611702,77.377556
High Severity Area,2,28.621845,77.379099
High Severity Area,2,28.620789,77.382078
High Severity Area,2,28.602859,77.382876
High Severity Area,10,28.621875,77.273779
High Severity Area,10,28.66527,77.309962
High Severity Area,10,28.631802,77.326979
High Severity Area,10,28.653974,77.329151
High Severity Area,10,28.656864,77.274485
High Severity Area,8,28.610231,77.265327
High Severity Area,8,28.631472,77.290093
High Severity Area,8,28.621156,77.273844
High Severity Area,8,28.6532,77.323029
High Severity Area,8,28.614347,77.299315
High Severity Area,6,28.641918,77.277171
High Severity Area,6,28.594024,77.316919
High Severity Area,6,28.605246,77.308581
High Severity Area,6,28.627338,77.323726
High Severity Area,6,28.606174,77.316856
High Severity Area,4,28.61348,77.280044
High Severity Area,4,28.638418,77.278726
High Severity Area,4,28.621409,77.305223
High Severity Area,4,28.632198,77.280691
High Severity Area,4,28.607778,77.290677
High Severity Area,2,28.632809,77.301628
High Severity Area,2,28.627081,77.295148
High Severity Area,2,28.615753,77.301821
High Severity Area,2,28.628537,77.290889
High Severity Area,2,28.620372,77.300166
High Severity Area,10,28.536005,77.133255
High Severity Area,10,28.492988,77.189053
High Severity Area,10,28.485645,77.132089
High Severity Area,10,28.578107,77.163094
High Severity Area,10,28.539388,77.181419
High Severity Area,8,28.513613,77.123568
High Severity Area,8,28.529885,77.126135
High Severity Area,8,28.503475,77.191919
High Severity Area,8,28.491828,77.178382
High Severity Area,8,28.538688,77.171509
High Severity Area,6,28.540907,77.134255
High Severity Area,6,28.505691,77.158998
High Severity Area,6,28.5575,77.172594
High Severity Area,6,28.541035,77.157045
High Severity Area,6,28.522537,77.14343
High Severity Area,4,28.533363,77.171369
High Severity Area,4,28.529704,77.147958
High Severity Area,4,28.532172,77.144904
High Severity Area,4,28.514809,77.176531
High Severity Area,4,28.537611,77.158086
High Severity Area,2,28.524307,77.150894
High Severity Area,2,28.524791,77.151288
High Severity Area,2,28.529076,77.161635
High Severity Area,2,28.536405,77.15043
High Severity Area,2,28.519039,77.151104
High Severity Area,10,28.594101,77.275924
High Severity Area,10,28.636273,77.290574
High Severity Area,10,28.580512,77.353442
High Severity Area,10,28.645786,77.288694
High Severity Area,10,28.636717,77.257555
High Severity Area,8,28.645112,77.312458
High Severity Area,8,28.604195,77.34394
High Severity Area,8,28.600294,77.293159
High Severity Area,8,28.616515,77.271277
High Severity Area,8,28.583524,77.328297
High Severity Area,6,28.585504,77.335703
High Severity Area,6,28.633055,77.318444
High Severity Area,6,28.593488,77.297987
High Severity Area,6,28.616425,77.285777
High Severity Area,6,28.612898,77.310494
High Severity Area,4,28.599389,77.316466
High Severity Area,4,28.606796,77.311953
High Severity Area,4,28.590588,77.297244
High Severity Area,4,28.61213,77.289212
High Severity Area,4,28.623429,77.298612
High Severity Area,2,28.601311,77.305967
High Severity Area,2,28.611507,77.305344
High Severity Area,2,28.597379,77.298626
High Severity Area,2,28.608094,77.314432
High Severity Area,2,28.599669,77.307403
High Severity Area,10,28.660216,77.067052
High Severity Area,10,28.591142,77.051705
High Severity Area,10,28.59723,77.032689
High Severity Area,10,28.667491,77.073955
High Severity Area,10,28.600341,77.081851
High Severity Area,8,28.646219,77.058986
High Severity Area,8,28.613122,77.078897
High Severity Area,8,28.605261,77.04648
High Severity Area,8,28.608065,77.097968
High Severity Area,8,28.631678,77.080547
High Severity Area,6,28.664561,77.101254
High Severity Area,6,28.633464,77.064561
High Severity Area,6,28.655626,77.049087
High Severity Area,6,28.653722,77.059932
High Severity Area,6,28.665348,77.050401
High Severity Area,4,28.65754,77.089202
High Severity Area,4,28.648682,77.075639
High Severity Area,4,28.648039,77.083991
High Severity Area,4,28.646806,77.082156
High Severity Area,4,28.644121,77.05788
High Severity Area,2,28.632198,77.070768
High Severity Area,2,28.639583,77.077725
High Severity Area,2,28.646439,77.068989
High Severity Area,2,28.638711,77.066226
High Severity Area,2,28.641971,77.081196
High Severity Area,10,28.692384,77.312904
High Severity Area,10,28.753399,77.288449
High Severity Area,10,28.736795,77.248274
High Severity Area,10,28.688631,77.277499
High Severity Area,10,28.688719,77.276816
High Severity Area,8,28.739163,77.277906
High Severity Area,8,28.744574,77.296704
High Severity Area,8,28.725788,77.313712
High Severity Area,8,28.738476,77.285049
High Severity Area,8,28.694547,77.289941
High Severity Area,6,28.728208,77.246017
High Severity Area,6,28.744135,77.248881
High Severity Area,6,28.735948,77.281687
High Severity Area,6,28.759367,77.252789
High Severity Area,6,28.760874,77.278623
High Severity Area,4,28.739222,77.281486
High Severity Area,4,28.720846,77.278573
High Severity Area,4,28.729309,77.255273
High Severity Area,4,28.729334,77.291835
High Severity Area,4,28.717516,77.284297
High Severity Area,2,28.726452,77.269772
High Severity Area,2,28.725382,77.274304
High Severity Area,2,28.732005,77.271605
High Severity Area,2,28.733007,77.274196
High Severity Area,2,28.727149,77.267532
High Severity Area,10,28.586885,77.143701
High Severity Area,10,28.605107,77.187094
High Severity Area,10,28.550532,77.109209
High Severity Area,10,28.560061,77.201828
High Severity Area,10,28.547481,77.119203
High Severity Area,8,28.529765,77.167749
High Severity Area,8,28.531868,77.180772
High Severity Area,8,28.552162,77.149865
High Severity Area,8,28.590736,77.119271
High Severity Area,8,28.576176,77.119041
High Severity Area,6,28.533895,77.151487
High Severity Area,6,28.532011,77.149742
High Severity Area,6,28.540439,77.132772
High Severity Area,6,28.547425,77.177467
High Severity Area,6,28.573715,77.129102
High Severity Area,4,28.563551,77.138238
High Severity Area,4,28.554124,77.164553
High Severity Area,4,28.540851,77.17109
High Severity Area,4,28.57745,77.163266
High Severity Area,4,28.567348,77.155446
High Severity Area,2,28.554655,77.167701
High Severity Area,2,28.550408,77.157627
High Severity Area,2,28.554057,77.153851
High Severity Area,2,28.558629,77.15591
High Severity Area,2,28.552432,77.160089
High Severity Area,10,28.707919,77.359211
High Severity Area,10,28.642716,77.36013
High Severity Area,10,28.632249,77.388961
High Severity Area,10,28.643499,77.3465
High Severity Area,10,28.622483,77.336197
High Severity Area,8,28.641098,77.339644
High Severity Area,8,28.667805,77.358044
High Severity Area,8,28.663236,77.401402
High Severity Area,8,28.687735,77.377666
High Severity Area,8,28.659034,77.38746
High Severity Area,6,28.682452,77.359361
High Severity Area,6,28.688718,77.383678
High Severity Area,6,28.645098,77.373608
High Severity Area,6,28.671282,77.354638
High Severity Area,6,28.672248,77.384278
High Severity Area,4,28.676644,77.391076
High Severity Area,4,28.651073,77.355703
High Severity Area,4,28.66554,77.360378
High Severity Area,4,28.667322,77.359013
High Severity Area,4,28.644642,77.36905
High Severity Area,2,28.656146,77.382566
High Severity Area,2,28.65789,77.371612
High Severity Area,2,28.664705,77.370909
High Severity Area,2,28.67184,77.365466
High Severity Area,2,28.665865,77.382803
High Severity Area,10,28.610807,77.338595
High Severity Area,10,28.610621,77.334941
High Severity Area,10,28.633355,77.32723
High Severity Area,10,28.689371,77.378587
High Severity Area,10,28.65817,77.298884
High Severity Area,8,28.629903,77.34662
High Severity Area,8,28.63758,77.312327
High Severity Area,8,28.685907,77.370042
High Severity Area,8,28.631148,77.333966
High Severity Area,8,28.671724,77.337672
High Severity Area,6,28.652391,77.324979
High Severity Area,6,28.625698,77.332608
High Severity Area,6,28.677672,77.321499
High Severity Area,6,28.678133,77.349398
High Severity Area,6,28.679607,77.365991
High Severity Area,4,28.639919,77.356203
High Severity Area,4,28.664156,77.351627
High Severity Area,4,28.638535,77.339316
High Severity Area,4,28.667271,77.356979
High Severity Area,4,28.653982,77.338053
High Severity Area,2,28.649441,77.346802
High Severity Area,2,28.647163,77.337225
High Severity Area,2,28.65029,77.337842
High Severity Area,2,28.652383,77.340482
High Severity Area,2,28.657657,77.333679
High Severity Area,10,28.452068,77.16283
High Severity Area,10,28.49889,77.174914
High Severity Area,10,28.491155,77.157566
High Severity Area,10,28.460146,77.135913
High Severity Area,10,28.545903,77.115715
High Severity Area,8,28.510358,77.141235
High Severity Area,8,28.505373,77.194201
High Severity Area,8,28.484293,77.190103
High Severity Area,8,28.466982,77.128078
High Severity Area,8,28.534837,77.175196
High Severity Area,6,28.528919,77.147617
High Severity Area,6,28.505403,77.140486
High Severity Area,6,28.488988,77.167087
High Severity Area,6,28.48685,77.171218
High Severity Area,6,28.493518,77.136013
High Severity Area,4,28.482242,77.151767
High Severity Area,4,28.503204,77.147139
High Severity Area,4,28.509292,77.156142
High Severity Area,4,28.489562,77.154053
High Severity Area,4,28.483572,77.142004
High Severity Area,2,28.495997,77.163564
High Severity Area,2,28.506291,77.166932
High Severity Area,2,28.504828,77.161848
High Severity Area,2,28.494316,77.156116
High Severity Area,2,28.496941,77.160865
High Severity Area,10,28.57011,77.207932
High Severity Area,10,28.513632,77.148094
High Severity Area,10,28.544002,77.223658
High Severity Area,10,28.572202,77.179101
High Severity Area,10,28.541971,77.205842
High Severity Area,8,28.544424,77.142095
High Severity Area,8,28.548976,77.14572
High Severity Area,8,28.536891,77.167962
High Severity Area,8,28.534695,77.155129
High Severity Area,8,28.575131,77.205533
High Severity Area,6,28.545621,77.17403
High Severity Area,6,28.522306,77.179062
High Severity Area,6,28.534272,77.19432
High Severity Area,6,28.563104,77.193266
High Severity Area,6,28.516952,77.173447
High Severity Area,4,28.551009,77.161066
High Severity Area,4,28.53961,77.168166
High Severity Area,4,28.527281,77.191918
High Severity Area,4,28.52734,77.170948
High Severity Area,4,28.5594,77.195705
High Severity Area,2,28.543132,77.173587
High Severity Area,2,28.534867,77.177684
High Severity Area,2,28.552669,77.185406
High Severity Area,2,28.536164,77.181691
High Severity Area,2,28.537871,77.177849
High Severity Area,10,28.602607,77.209066
High Severity Area,10,28.604321,77.236332
High Severity Area,10,28.53029,77.232454
High Severity Area,10,28.572425,77.212547
High Severity Area,10,28.577173,77.155299
High Severity Area,8,28.53108,77.203841
High Severity Area,8,28.586076,77.219724
High Severity Area,8,28.541862,77.213343
High Severity Area,8,28.591549,77.185586
High Severity Area,8,28.60097,77.150401
High Severity Area,6,28.56012,77.188317
High Severity Area,6,28.555638,77.203876
High Severity Area,6,28.56157,77.182421
High Severity Area,6,28.548289,77.193549
High Severity Area,6,28.593286,77.197185
High Severity Area,4,28.572797,77.195257
High Severity Area,4,28.552802,77.178562
High Severity Area,4,28.545318,77.198337
High Severity Area,4,28.570644,77.20339
High Severity Area,4,28.558026,77.201597
High Severity Area,2,28.564518,77.1912
High Severity Area,2,28.570263,77.198112
High Severity Area,2,28.573549,77.188016
High Severity Area,2,28.570134,77.194482
High Severity Area,2,28.568395,77.196578
High Severity Area,10,28.563161,77.107487
High Severity Area,10,28.532701,77.135722
High Severity Area,10,28.560394,77.178966
High Severity Area,10,28.549651,77.150901
High Severity Area,10,28.491435,77.189165
High Severity Area,8,28.544385,77.157187
High Severity Area,8,28.522769,77.186338
High Severity Area,8,28.513987,77.193368
High Severity Area,8,28.537688,77.135314
High Severity Area,8,28.495797,77.170325
High Severity Area,6,28.522542,77.156434
High Severity Area,6,28.558313,77.173452
High Severity Area,6,28.520679,77.131214
High Severity Area,6,28.512908,77.168023
High Severity Area,6,28.526357,77.133256
High Severity Area,4,28.541425,77.147116
High Severity Area,4,28.53148,77.140974
High Severity Area,4,28.537447,77.156655
High Severity Area,4,28.538206,77.172758
High Severity Area,4,28.548984,77.16339
High Severity Area,2,28.530231,77.14791
High Severity Area,2,28.528447,77.147966
High Severity Area,2,28.533293,77.162581
High Severity Area,2,28.537941,77.157885
High Severity Area,2,28.533375,77.153079
High Severity Area,10,28.584157,77.354418
High Severity Area,10,28.500854,77.37779
High Severity Area,10,28.560029,77.346513
High Severity Area,10,28.526784,77.377355
High Severity Area,10,28.509692,77.373728
High Severity Area,8,28.570757,77.337922
High Severity Area,8,28.539916,77.340325
High Severity Area,8,28.536607,77.350237
High Severity Area,8,28.506834,77.319806
High Severity Area,8,28.579579,77.351812
High Severity Area,6,28.561993,77.325596
High Severity Area,6,28.550561,77.307168
High Severity Area,6,28.523067,77.326611
High Severity Area,6,28.563465,77.311706
High Severity Area,6,28.520421,77.334768
High Severity Area,4,28.531953,77.325267
High Severity Area,4,28.551322,77.330829
High Severity Area,4,28.564672,77.350252
High Severity Area,4,28.555115,77.316336
High Severity Area,4,28.538042,77.321325
High Severity Area,2,28.554315,77.324713
High Severity Area,2,28.549506,77.327155
High Severity Area,2,28.538379,77.33404
High Severity Area,2,28.553843,77.330989
High Severity Area,2,28.536201,77.334124
High Severity Area,10,28.550284,77.367722
High Severity Area,10,28.557037,77.293325
High Severity Area,10,28.510051,77.311698
High Severity Area,10,28.5439,77.330288
High Severity Area,10,28.587683,77.347372
High Severity Area,8,28.526851,77.307165
High Severity Area,8,28.506635,77.312241
High Severity Area,8,28.557219,77.361247
High Severity Area,8,28.518631,77.301683
High Severity Area,8,28.581299,77.319307
High Severity Area,6,28.53737,77.357618
High Severity Area,6,28.5672,77.339856
High Severity Area,6,28.563431,77.324749
High Severity Area,6,28.551856,77.353058
High Severity Area,6,28.559281,77.308169
High Severity Area,4,28.555257,77.315496
High Severity Area,4,28.553243,77.337463
High Severity Area,4,28.537031,77.313207
High Severity Area,4,28.527153,77.312198
High Severity Area,4,28.559803,77.340169
High Severity Area,2,28.538852,77.330793
High Severity Area,2,28.541968,77.327596
High Severity Area,2,28.5509,77.327739
High Severity Area,2,28.544682,77.336536
High Severity Area,2,28.551531,77.32505
High Severity Area,10,28.620209,77.290129
High Severity Area,10,28.614599,77.323463
High Severity Area,10,28.551058,77.33298
High Severity Area,10,28.618352,77.333005
High Severity Area,10,28.564946,77.264084
High Severity Area,8,28.585067,77.292619
High Severity Area,8,28.541265,77.33369
High Severity Area,8,28.59003,77.279389
High Severity Area,8,28.597242,77.320766
High Severity Area,8,28.532796,77.28406
